"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"ABW",2019,"Latin America & Caribbean","Aruba",180,11.1111111111111,109203,0.270504632854835,37.711723713115,62.288276286885,10.842,1.701,6,76.019,20.6479874145601,4.66562273930203,3243368791.69297,29700.3634670565,0.955684591453277,4.25746204335427,137.923249273411,66.7030809219838,71.2201683514275,-2.2472039816062,NA,131.682169673877,0.00168011577104813,22.902519428814,NA,88.6972605,79.2192254,71.4395105,"High income","Low","High","Low","Low","High",NA
"AFG",2019,"Middle East & North Africa","Afghanistan",652230,11.9405731107125,37856121,2.98438913621969,74.8562741160197,25.1437258839803,37.138,5.238,7,62.941,4.47933729391896,0.319752781855278,21118473702.3471,557.861533207459,0.856294729087764,2.30237251516834,NA,NA,NA,0.124495985291258,43.8771686940085,59.6470805870469,0.682287828246046,NA,0.49705607,21.6637858,28.4439091,17.4649243,"Low income","High","Low","High","Low",NA,"High"
"AGO",2019,"Sub-Saharan Africa","Angola",1246700,4.28491216812385,32375632,3.38788422184303,33.3362176819467,66.6637823180533,39.539,5.442,6,63.051,5.18975971866823,0.833846270553112,100545753428.833,3105.59971242672,-4.35122089958229,17.080954143438,60.3713068739603,36.9500822651989,23.4212246087614,-5.04777218289971,53.423323354571,45.8065312825399,28.8978590593907,13.4813021731039,1.00303984,58.7080974,38.8595978,28.3258192,"Lower middle income","Low","High","High","Low","Low","High"
"ALB",2019,"Europe & Central Asia","Albania",27400,22.2627737226277,2567801,-1.54313709096794,43.2360928712745,56.7639071287255,10.757,1.395,6,79.467,20.9507530206723,1.94096037816015,13025007474.8895,5072.43648354739,3.64975808463876,1.41109078954242,75.382128932689,30.9361224858484,44.4460064468406,7.70621465029911,36.2351325540832,91.1634968336332,1.63497378546365,12.6759912713341,2.89433575,65.9691253,51.9490278,36.9548927,"Upper middle income","High","Low","Low","High","High","High"
"AND",2019,"Europe & Central Asia","Andorra",470,1.6831914893617,76474,1.73050296926809,11.4608206333755,88.5391793666245,6.993,1.045,6,84.098,19.0810488892097,NA,3008967037.09274,39346.275035865,0.265352820614368,NA,NA,NA,NA,13.3818111196322,NA,114.952794413788,0,NA,5.22278023,92.3515614,84.8051674,71.7090468,"High income","Low","High","High","Low",NA,NA
"ARE",2019,"Middle East & North Africa","United Arab Emirates",71020,0.702618980568854,9445785,1.0545163442516,14.9701736611805,85.0298263388195,10.094,1.247,6,82.596,1.86744698747682,20.945786930361,410593665764.859,43468.4534705013,0.208979855084152,-1.93108114782173,163.822149025614,93.3023068879995,70.5198421376147,4.11928554446951,2.58611467473211,209.033214126867,16.8958990035406,12.6068493727808,2.2531426,80.0644793,64.3010859,69.8741699,"High income","Low","High","High","Low","High","Low"
"ARG",2019,"Latin America & Caribbean","Argentina",2736690,14.9267911235836,44973465,0.710900853077743,8.14321554861981,91.8567844513802,13.902,1.882,6,76.847,18.0994378665041,4.07504069344001,571450737224.442,12706.3978108968,-2.69506723533574,53.5483043492339,32.6306150458499,17.9248783778462,14.7057366680037,1.48500687570697,7.61304714991947,125.302657911726,2.16668838721926,16.4432415862976,6.2193737,66.8707383,51.145331,46.1402602,"Upper middle income","Low","High","Low","Low","Low","Low"
"ARM",2019,"Europe & Central Asia","Armenia",28470,15.6234632946962,2962500,-0.219168932037313,34.9952966429572,65.0047033570428,12.2,1.6,6,76.2219512195122,17.8042980623195,2.16867510548523,12867495497.6469,4343.45839583019,7.83608438672164,1.44344660770698,97.847004865327,42.2626073502911,55.5843975150359,0.736345856475298,30.5863217690375,124.613701509519,2.20100166948291,12.5645600985114,1.41167367,67.0622606,52.6966642,46.7952054,"Upper middle income","Low","High","Low","High","High","High"
"ASM",2019,"East Asia & Pacific","American Samoa",200,4.75,50209,-1.38257886328442,16.9457828202726,83.0542171797274,16.304,2.404,6,72.751,9.55778800112665,0.00199167479933876,628818320.610687,12524.0160252283,0.897584681397618,NA,156.568778979907,61.6692426584235,94.8995363214838,NA,NA,NA,0,NA,NA,87.1971851,80.5861133,84.3407096,"High income","Low","High","Low","Low","High",NA
"ATG",2019,"Latin America & Caribbean","Antigua and Barbuda",440,9.09090909090909,91364,0.480553889847623,75.291662475955,24.708337524045,11.5,1.468,5,77.168,13.3198928868232,3.74983582154897,1692541753.29144,18525.2588907167,2.67761319425004,1.43135598182984,137.537783631991,69.1646948026456,68.3730888293456,7.75630247071163,NA,201.392233264743,0,NA,2.49952674,81.5566579,67.1106007,52.295138,"High income","High","Low","Low","High","High",NA
